"Display Properties","Display Properties"
"Render Categories Tree","Render Categories Tree"
"Render Category Tree","Render Category Tree"
"Please, make sure all parent categories have set Anchor to render full tree","Please, make sure all parent categories have set Anchor to render full tree"
"Category Tree Depth","Category Tree Depth"
"Specify the max level number for category tree. Keep 1 to hide the subcategories","Specify the max level number for category tree. Keep 1 to hide the subcategories"
"Categories Level","Categories Level"
"Expand Subcategories","Expand Subcategories"
"Wrong Filter Type","Wrong Filter Type"
"Root Category","Root Category"
"Current Category","Current Category"
"Current Category Childrens","Current Category Childrens"
Auto,Auto
Click,Click
No,No
"Full Category Tree","Full Category Tree"
"Custom Category Tree","Custom Category Tree"
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Shop By","Shop By"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Layered Navigation Enable","Layered Navigation Enable"
"Enable Ajax","Enable Ajax"
"Hide Filter Attributes on Layered Navigation","Hide Filter Attributes on Layered Navigation"
"Added by Mageplaza Layered Navigation","Added by Mageplaza Layered Navigation"
